AAPL_x,AAPL_y
0,4.0
1,2.666666666666667
2,3.466666666666667
3,2.8952380952380956
4,3.3396825396825403
5,2.9760461760461765
6,3.2837384837384844
7,3.017071817071818
8,3.2523659347188767
9,3.0418396189294032
10,3.232315809405594
11,3.058402765927333
12,3.2184027659273333
13,3.0702546177791854
14,3.208185652261944
15,3.079153394197428
16,3.200365515409549
17,3.0860798011238346
18,3.1941879092319425
19,3.09162380666784
20,3.189184782277596
21,3.0961615264636424
22,3.1850504153525314
23,3.099944032373808
24,3.1815766854350325
25,3.1031453128860127
26,3.1786170109992202
27,3.1058897382719475
28,3.1760651768684385
29,3.108268566698947
30,3.1738423371907505
31,3.110350273698687
32,3.1718887352371485
33,3.112187242699835
34,3.1701582571925884
35,3.1138202290235744
36,3.1686147495715193
37,3.115281416238186
38,3.167229468186238
39,3.116596556793833
40,3.1659792728432157
41,3.117786501758878
42,3.1648453252882898
43,3.118868313794037
44,3.163812134018756
45,3.1198560900627124
46,3.1628668427508844
47,3.1207615795929895
48,3.161998692995051
49,3.121594652591011
50,3.1611986129870506
51,3.12236366153074
52,3.160458899625978
53,3.1230757220558845
54,3.1597729697623063
55,3.12373693372627
56,3.159135163814766
57,3.124352555119114
58,3.158540589307148
59,3.1249271439289967
60,3.157984995168666
61,3.125464669965414
62,3.157464669965414
63,3.125968606973288
64,3.1569763589112725
65,3.1264420077662343
66,3.156517195736159
67,3.126887566106529
68,3.1560846463985
69,3.127307667981234
70,3.155676462307475
71,3.127704434335447
72,3.155290641231999
73,3.1280797568782575
74,3.15492539446215
75,3.1284353282369843
76,3.1545791190866574
77,3.128772667473754
78,3.1542503744801236
79,3.129093141775721
80,3.1539378622726155
81,3.129397984972002
82,3.1536404092144266
83,3.129688313406043
84,3.1533569524592977
85,3.129965139593801
86,3.153086526877038
87,3.1302293840198954
88,3.1528282540763923
89,3.1304818853613083
90,3.1525813328751204
91,3.1307234093778527
92,3.1523450309994745
93,3.1309546566679236
94,3.152118677831945
95,3.131176269454982
96,3.151901658056018
97,3.1313888375431977
98,3.1516934060711166
99,3.1315929035585537
100,3.1514934010709914
101,3.1317889675734545
102,3.1513011626954057
103,3.131977491197821
104,3.1511162471786824
105,3.1321589012071183
106,3.150938243930123
107,3.132333592767332
108,3.1507667724908344
109,3.1325019323081857
110,3.150601479819498
111,3.132664260088556
112,3.150442037866334
113,3.1328208924918846
114,3.1502881414001815
115,3.1329721240841644
116,3.150139506058413
117,3.1331182294626685
118,3.14999586659347
119,3.13325946491983
120,3.149856975293274
121,3.1333960699434797
122,3.149722600555725
123,3.133528268571919
124,3.1495925256000317
125,3.133656270619952
126,3.149466547299794
127,3.13378027278999
128,3.1493444751246202
129,3.133900459680605
130,3.1492261301786892
131,3.134017004703404
132,3.1491113443260454
133,3.1341300709178057
134,3.148999959393642
135,3.1342398117921664
136,3.148891826444181
137,3.1343463718987263
138,3.148786805111723
139,3.134449887548999
140,3.1486847629938386
141,3.134550487375464
142,3.1485855750947622
143,3.134648292864797
144,3.1484891233146244
145,3.1347434188472705
146,3.1483952959803765
147,3.1348359739464784
148,3.148303987414492
149,3.134926060993087
150,3.1482150975379377
151,3.1350137774059244
152,3.148128531504285
153,3.135099215543373
154,3.148044199362143
155,3.135182463027738
156,3.147962015743393
157,3.1352636030449803
158,3.1478818995749487
159,3.1353427146219706
160,3.1478037738120017
161,3.135419872883209
162,3.1477275651909014
163,3.1354951492887606
164,3.1476532040000067
165,3.1355686118549917
166,3.147580623867004
167,3.135640325359541
168,3.1475097615613215
169,3.1357103515318228
170,3.147440556810415
171,3.1357787492302402
172,3.1473729521287908
173,3.1358455746071767
174,3.1473068926587526
175,3.1359108812627414
176,3.1472423260219484
177,3.1359747203881456
178,3.1471792021808627
179,3.136037140899526
180,3.147117473309498
181,3.1360981895629414
182,3.1470570936725304
183,3.1361579111112223
184,3.1469980195123064
185,3.1362163483532766
186,3.146940208943089
187,3.136273542276422
188,3.146883621852019
189,3.1363295321422564
190,3.1468282198062982
191,3.136384355576533
192,3.1467739659661436
193,3.136438048653482
194,3.1467208250030967
195,3.1364906459749635
196,3.1466687630233094
197,3.1365421807448284
198,3.146617747495458
199,3.136592684838816
200,3.1465677471829556
201,3.1366421888703004
202,3.146518732080177
203,3.136690722252167
204,3.1464706733524115
205,3.136738313255088
206,3.146423543279301
207,3.1367849890624337
208,3.1463773152015224
209,3.1368307758220473
210,3.1463319634705034
211,3.1368756986950896
212,3.146287463400972
213,3.136919781902143
214,3.1462437912261523
215,3.1369630487667557
216,3.146200924055439
217,3.1370055217565884
218,3.1461588398343916
219,3.1370472225223187
220,3.1461175173068994
221,3.137088171934439
222,3.1460769359793828
223,3.137128390118085
224,3.1460370760869045
225,3.1371678964860177
226,3.145997918561073
